@@,itemlabel,item,startdate,enddate
->,Robert Abercrombie Lovett->Robert A. Lovett,Q2063424,1950-10-04,1951-09-16
->,Donald Aubrey Quarles->Donald A. Quarles,Q927712,1957-05-01,1959-05-08
->,"Thomas S. Gates, Jr.->Thomas S. Gates Jr.",Q1361114,1959-06-08,1959-12-01
->,"James H. Douglas, Jr.->James H. Douglas Jr.",Q1589127,1959-12-11,1961-01-24
->,Bill Clements,Q545307,1973->1973-01-30,1977->1977-01-20
->,"Charles Duncan, Jr.->Charles Duncan Jr.",Q1066337,1977-01-31,1979-07-26
->,"W. Graham Claytor, Jr.->W. Graham Claytor Jr.",Q981379,1979-08-24,1981-01-16
->,William Perry,Q539791,1993-01-21->1993-03-05,1994-02-03
->,Paul Wolfowitz,Q219861,2001-01-20->2001-03-02,2005-06-01->2005-05-13
---,Gordon R. England,Q323508,2006-01-04,2009-02-11
->,Ashton Carter->Ash Carter,Q4806029,2011-10-06,2013-12-04
->,Patrick M. Shanahan,Q28967998,2018-07-19->2017-07-19,2019-06-23
