@@,itemlabel,item,startdate,enddate
+++,Alfred A. DelliBovi,Q4722185,1989,1992
+++,Frank Keating,Q889831,1992,1993
->,Terrence Roger Duvernay->Terrence R. Duvernay,Q94659475->NULL,1993,1994
+++,Andrew Cuomo,Q11673,1994,1997-01-29
+++,Saul N. Ramirez Jr.,Q7427329,1998,2001-01-20
+++,Alphonso Jackson,Q324505,2001-05-24,2004-08-31
+++,Roy Bernardi,Q3445744,2004-11-21,2009-01-20
->,Ron Sims,Q7364392,2009-05-08,2011-07->2011-07-31
+++,Maurice Jones,Q28059475,2012-04-18,2014-01
+++,Helen Kanovsky,,2014-01,2014-12-02
+++,Nani A. Coloretti,Q23418884,2014-12-02,2017-01-20
