item,itemLabel,startDate,endDate,sourceDate,psid
Q3068171,Felix Rohatyn,1997-08-01,2000-12-07,2022-07-20,Q3068171-9E14ADC0-11CE-4F3D-B157-C4598E80599B
Q5919823,Howard H. Leach,2001-07-12,2005-04-16,2022-07-20,Q5919823-7263441B-E99D-487C-A4FB-013D1BD7D85C
Q3002054,Craig Roberts Stapleton,2005-07-25,2009,,Q3002054-961f9a0b-4a6e-97e6-1003-ee033e39246b
Q2960128,Charles Rivkin,2009-10-02,2013-11-19,,Q2960128-6703bcd9-479e-0bc4-2a72-dc21d8975189
Q18057116,Jane D. Hartley,2014-10-31,2017-01-20,,Q18057116-ED2B6737-26DC-4B12-8A27-F9C6DEB699CD
Q6147195,Jamie McCourt,2017-11-20,2021-01-20,2022-07-20,Q6147195-0DE25234-8138-49A3-88DF-36798094D71E
Q13571907,Denise Bauer,2021-12-18,,2022-07-20,Q13571907-FECA2519-F136-458A-AAA8-EF2A27546B28
