@@,item,itemlabel,startdate,enddate
->,Q6243110,"John King, Jr.->John King Jr.",2015-01-04->2016-01-01,2016-03-14
->,Q6243110,"John King, Jr.->John King Jr.",2016-03-14,2017-01-20
