@@,itemlabel,item,startdate,enddate
+++,Robert A. Lovett,Q2063424,1950-10-04,1951-09-16
+++,William Chapman Foster,Q16010923,1951-09-24,1953-01-20
+++,Roger M. Kyes,Q7358565,1953-02-02,1954-05-01
+++,Reuben B. Robertson Jr.,Q33128871,1955-08-05,1957-04-25
+++,Donald A. Quarles,Q927712,1957-05-01,1959-05-08
->,"Thomas S. Gates, Jr.->Thomas S. Gates Jr.",Q1361114,1959-06-08,1959-12-01
+++,James H. Douglas Jr.,Q1589127,1959-12-11,1961-01-24
+++,Roswell Gilpatric,Q7370106,1961-01-24,1964-01-20
+++,Kenneth Rush,Q822359,1972-02-23,1973-01-29
->,Bill Clements,Q545307,1973->1973-01-30,1977->1977-01-20
+++,Robert Ellsworth,Q2157175,1975-12-23,1977-01-10
->,"Charles Duncan, Jr.->Charles Duncan Jr.",Q1066337,1977-01-31,1979-07-26
->,"W. Graham Claytor, Jr.->W. Graham Claytor Jr.",Q981379,1979-08-21->1979-08-24,1981-01-16
+++,W. Paul Thayer,Q7945885,1983-01-12,1984-01-04
+++,William Howard Taft IV,Q8012585,1984-02-03,1989-04-22
+++,Donald J. Atwood Jr.,Q5294551,1989-04-24,1993-01-20
->,William Perry,Q539791,1993-01-21->1993-03-05,1994-02-03
+++,John P. White,Q6251736,1995-06-22,1997-07-15
+++,John Hamre,Q1802453,1997-07-29,2000-03-31
+++,Rudy de Leon,Q7377714,2000-03-31,2001-03-01
->,Paul Wolfowitz,Q219861,2001-01-20->2001-03-02,2005-06-01->2005-05-13
---,Gordon R. England,Q323508,2006-01-04,2009-02-11
+++,William J. Lynn III,Q5968865,2009-02-12,2011-10-05
+++,Ash Carter,Q4806029,2011-10-06,2013-12-04
+++,Christine Fox,Q15277700,2013-12-05,2014-05-01
+++,Robert O. Work,Q7348126,2014-05-01,2017-07-14
->,Patrick M. Shanahan,Q28967998,2018-07-19->2017-07-19,2019-06-23
+++,Richard V. Spencer,Q29342932,2019-07-23,2019-07-31
->,Kathleen Hicks,Q104587353,2021-02-09->2021-02-08,
