item,itemLabel,startDate,endDate,position
Q370781,John Rutledge,1790-02-15,1791-03-05,AssociateJustice
Q2063381,William Cushing,1790-02-02,1810-09-13,AssociateJustice
Q365181,James Wilson,1789-10-05,1798-08-21,AssociateJustice
Q778866,John Blair,1790-02-02,1795-10-25,AssociateJustice
Q956007,James Iredell,1790-05-12,1799-10-20,AssociateJustice
Q5889298,Thomas Johnson,1791-09-19,1793-01-16,AssociateJustice
Q729054,William Paterson,1793-03-11,1806-09-09,AssociateJustice
Q285521,Samuel Chase,1796-02-04,1811-06-19,AssociateJustice
Q166436,Bushrod Washington,1798-11-09,1829-11-26,AssociateJustice
Q2622090,Alfred Moore,1800-04-21,1804-01-26,AssociateJustice
Q1427073,William Johnson,1804-05-07,1834-08-04,AssociateJustice
Q1606548,Henry Brockholst Livingston,1807-01-20,1823-03-18,AssociateJustice
Q2427667,Thomas Todd,1807-05-04,1826-02-07,AssociateJustice
Q1489164,Gabriel Duvall,1811-11-23,1835-01-14,AssociateJustice
Q1368374,Joseph Story,1812-02-03,1845-09-10,AssociateJustice
Q1261880,Smith Thompson,1823-09-01,1843-12-18,AssociateJustice
Q1714230,Robert Trimble,1826-06-16,1828-08-25,AssociateJustice
Q1371498,John McLean,1829-03-12,1861-04-04,AssociateJustice
Q915480,Henry Baldwin,1830-01-18,1844-04-21,AssociateJustice
Q1250079,James Moore Wayne,1835-01-14,1867-07-05,AssociateJustice
Q726427,Philip P. Barbour,1836-05-12,1841-02-25,AssociateJustice
Q1699569,John Catron,1837-05-01,1865-05-30,AssociateJustice
Q926834,John McKinley,1838-01-09,1852-07-19,AssociateJustice
Q1238208,Peter Vivian Daniel,1842-01-10,1860-05-31,AssociateJustice
Q1717971,Samuel Nelson,1845-02-27,1872-11-28,AssociateJustice
Q579228,Levi Woodbury,1845-09-23,1851-09-04,AssociateJustice
Q1648806,Robert Cooper Grier,1846-08-10,1870-01-31,AssociateJustice
Q202276,Benjamin Robbins Curtis,1851-10-10,1857-09-30,AssociateJustice
Q1699162,John Archibald Campbell,1853-04-11,1861-04-30,AssociateJustice
Q724329,Nathan Clifford,1858-01-21,1881-07-25,AssociateJustice
Q1521765,Noah Haynes Swayne,1862-01-27,1881-01-24,AssociateJustice
Q2218270,Samuel Freeman Miller,1862-07-21,1890-10-13,AssociateJustice
Q374427,David Davis,1862-12-10,1877-03-04,AssociateJustice
Q1234235,Stephen Johnson Field,1863-05-20,1897-12-01,AssociateJustice
Q2580679,William Strong,1870-03-14,1880-12-14,AssociateJustice
Q1587475,Joseph P. Bradley,1870-03-23,1892-01-22,AssociateJustice
Q2545208,Ward Hunt,1873-01-09,1882-01-27,AssociateJustice
Q1700972,John Marshall Harlan,1877-12-10,1911-10-14,AssociateJustice
Q2578164,William Burnham Woods,1881-01-05,1887-05-14,AssociateJustice
Q507075,Stanley Matthews,1881-05-17,1889-03-22,AssociateJustice
Q1627868,Horace Gray,1882-01-09,1902-09-15,AssociateJustice
Q2218019,Samuel Blatchford,1882-04-03,1893-07-07,AssociateJustice
Q1549250,Lucius QuintusCincinnatus Lamar,1888-01-18,1893-01-23,AssociateJustice
Q5235764,David Josiah Brewer,1890-01-06,1910-03-28,AssociateJustice
Q1606519,Henry Billings Brown,1891-01-05,1906-05-28,AssociateJustice
Q1508251,George Shiras Jr.,1892-10-10,1903-02-23,AssociateJustice
Q654559,Howell Edmunds Jackson,1893-03-04,1895-08-08,AssociateJustice
Q706463,Edward Douglass White,1894-03-12,1910-12-18,AssociateJustice
Q2174811,Rufus W. Peckham,1896-01-06,1909-10-24,AssociateJustice
Q724941,Joseph McKenna,1898-01-26,1925-01-05,AssociateJustice
Q360574,Oliver Wendell Holmes Jr.,1902-12-08,1932-01-12,AssociateJustice
Q707528,William R. Day,1903-03-02,1922-11-13,AssociateJustice
Q724503,William Henry Moody,1906-12-17,1910-11-20,AssociateJustice
Q1627872,Horace Harmon Lurton,1910-01-03,1914-07-12,AssociateJustice
Q313252,Charles Evans Hughes,1910-10-10,1916-06-10,AssociateJustice
Q1404270,Willis Van Devanter,1911-01-03,1937-06-02,AssociateJustice
Q1707930,Joseph Rucker Lamar,1911-01-03,1916-01-02,AssociateJustice
Q186278,Mahlon Pitney,1912-03-18,1922-12-31,AssociateJustice
Q724204,James Clark McReynolds,1914-10-12,1941-01-31,AssociateJustice
Q520840,Louis Brandeis,1916-06-05,1939-02-13,AssociateJustice
Q1700452,John Hessin Clarke,1916-10-09,1922-09-18,AssociateJustice
Q1508314,George Sutherland,1922-10-02,1938-01-17,AssociateJustice
Q1395635,Pierce Butler,1923-01-02,1939-11-16,AssociateJustice
Q1293854,Edward Terry Sanford,1923-02-19,1930-03-08,AssociateJustice
Q942386,Harlan F. Stone,1925-03-02,1941-07-02,AssociateJustice
Q703968,Owen Roberts,1930-06-02,1945-07-31,AssociateJustice
Q817637,Benjamin N. Cardozo,1932-03-14,1938-07-09,AssociateJustice
Q459752,Hugo Black,1937-08-19,1971-09-17,AssociateJustice
Q1771524,Stanley Forman Reed,1938-01-31,1957-02-25,AssociateJustice
Q1403472,Felix Frankfurter,1939-01-30,1962-08-28,AssociateJustice
Q1391996,William O. Douglas,1939-04-17,1975-11-12,AssociateJustice
Q887724,Frank Murphy,1940-02-05,1949-07-19,AssociateJustice
Q432726,James F. Byrnes,1941-07-08,1942-10-03,AssociateJustice
Q505450,Robert H. Jackson,1941-07-11,1954-10-09,AssociateJustice
Q1626713,Wiley Blount Rutledge,1943-02-15,1949-09-10,AssociateJustice
Q507177,Harold Hitz Burton,1945-10-01,1958-10-13,AssociateJustice
Q724116,Tom C. Clark,1949-08-24,1967-06-12,AssociateJustice
Q1849894,Sherman Minton,1949-10-12,1956-10-15,AssociateJustice
