@@,itemlabel,item,startdate,enddate
+++,Jon Gundersen,Q6270816,1992-01-23,1992-05-11
->,Steven Karl Pifer->Steven Pifer,Q7614897,1997-11-10,2000-10-09
->,Carlos Pascual,Q5042478,2000-10-22->2000-09-15,2003-05-01
->,"William B. Taylor, Jr.->William B. Taylor Jr.",Q8004870,2006-05-30,2009-05-01->2009-05-23
->,John F. Tefft,Q500486,2009-12-07->2009-11-20,2013-07-09
->,Marie L. Yovanovitch->Marie Yovanovitch,Q6762913,2016-08-29->2016-05-18,2019-05-20
+++,Joseph Pennington,Q65201082,2019-05-20,2019-05-28
+++,Kristina Kvien,Q65200438,2019-05-28,2019-06-18
+++,William B. Taylor Jr.,Q8004870,2019-06-18,2020-01-01
+++,Kristina Kvien,Q65200438,2020-01-01,
