item,itemLabel,startDate,endDate
Q469735,Sidney Harman,1977-01-26,1980-08-28
Q6705568,Luther H. Hodges Jr.,1980-09-08,1981-01-20
Q107525181,Joseph Robert Wright Jr.,1981-01-29,1982-08-23
Q55183473,Guy W. Fiske,1982-08-24,1983-05-20
Q4983802,Bud Brown,1983-05-20,1988-07-12
Q56065119,Donna F. Tuttle,1988-07-12,1989-01-20
Q59282152,Thomas J. Murrin,1989-02-11,1991-04-17
Q29579177,Rockwell A. Schnabel,1991-04-25,1993-01-20
Q62050337,David J. Barram,1993-01-27,1996-05-14
Q61806064,Robert L. Mallett,1997-05-14,2001-01-20
Q1276376,Samuel Bodman,2001-01-22,2004-07-16
Q7781865,Theodore Kassinger,2004-08-20,2005-07-21
Q5230514,David A. Sampson,2005-07-25,2007-08-30
Q6241291,John J. Sullivan,2007-09-01,2008-03-14
Q6241291,John J. Sullivan,2008-03-14,2009-01-20
Q3023167,Dennis Hightower,2009-08-11,2010-08-27
Q510127,Rebecca Blank,2010-11-28,2012-03-29
Q510127,Rebecca Blank,2012-03-29,2013-06-01
Q7146316,Patrick D. Gallagher,2013-06-01,2014-07-24
Q23302660,Bruce H. Andrews,2014-07-24,2017-01-20
Q30160965,Karen Dunn Kelley,2017-09-22,2018-11-28
Q30160965,Karen Dunn Kelley,2018-11-28,2021-01-20
Q104937995,Wynn Coggins,2021-03-03,2021-05-14
Q104764170,Don Graves,2021-05-14,
