@@,itemlabel,item,startdate,enddate
+++,James Maurice Ealum,Q83689137,,1987-09
+++,J. Bruce Amstutz,Q64020067,,1980-02
+++,Jon D. Glassman,Q6270558,,1989
+++,James F. Dobbins,Q6132675,,2002-01-02
+++,Edward Hurwitz,Q5343564,,1986-03
+++,Hugo Llorens,Q16186345,,2017-11-17
+++,Charles F. Dunbar,,,1983-06
+++,Hawthorne Q. Mills,,,1982-01
+++,William H. Hornibrook,Q2579067,1935-01-22,1936-03-16
+++,"Louis G. Dreyfus, Jr.",Q64755654,1940-02-16,1942-07-25
+++,Cornelius Van Hemert Engert,Q81229248,1942-05-02,1945-08-17
+++,Ely Palmer,Q74752924,1945-02-09,
+++,Ely Palmer,Q74752924,1948-05-06,1948-11-18
+++,"Louis G. Dreyfus, Jr.",Q64755654,1949-04-21,1951-01-19
+++,George Robert Merrell,Q26244710,1951-04-19,1952-05-03
->,Angus I. Ward,Q83689081,1952->1952-06-27,1956->1956-03-03
+++,Sheldon T. Mills,Q16012161,1956-03-28,1959-02-03
->,Henry A. Byroade,Q1708970,1959->1959-01-29,1962->1962-01-19
+++,John M. Steeves,Q16014193,1962-02-07,1966-07-21
+++,Robert G. Neumann,Q7344626,1966-11-03,1973-09-10
+++,"Theodore L. Eliot, Jr.",Q7781877,1973-09-20,1978-06-14
->,James B. Cunningham,Q348185,2012->NULL,2014->2014-12-07
->,John R. Bass,Q6253752,2017-12-12->2017-09-28,NULL->2020-01-06
+++,Ian McCary,,2021-08-31,
