@@,itemlabel,item,startdate,enddate
->,John R. Steelman->John Steelman,Q1701503,1946-12-12,1953-01-20
->,W. Marvin Watson->Marvin Watson,Q366201,1963-11-22->1965-02-01,1968-04-26
->,James Robert Jones->James R. Jones,Q1268791,1968-04-26,1969-01-20
->,Harry Robbins Haldeman->H. R. Haldeman,Q958413,1969-01-20,1973-04-30
->,Dick Cheney,Q48259,1975-11-21->1975-11-20,1977-01-20
->,Hamilton Jordan,Q366343,1979-08-06->1979-07-18,1980-06-12->1980-06-11
->,James Baker,Q223151,1981-01-20,1985-02-03->1985-02-04
->,John H. Sununu->John Sununu,Q887489,1989-01-20,1991-12-15->1991-12-16
->,Samuel K. Skinner->Samuel Skinner,Q464774,1989-02-06->1991-12-16,1991-12-15->1992-08-23
->,James Baker,Q223151,1992-08-24->1992-08-23,1993-01-20
->,William M. Daley->Bill Daley,Q1370400,2011-01-13,2012-01-27
->,Jack Lew,Q1677579,2012-01-27,2013-01-25->2013-01-20
->,Denis McDonough,Q3702047,2013-01-25->2013-01-20,2017-01-20
->,Reince Priebus,Q1357640,2017-01-20,2017-07-28->2017-07-31
->,Mick Mulvaney,Q1235731,2019-01-02,2020-03-05->2020-03-31
->,Mark Meadows,Q3956796,2020-03-06->2020-03-31,2021-01-20
