item,itemLabel,startDate,endDate,sourceDate,psid
Q6914731,Mortimer L. Downey,1993,2001,,Q6914731-33A72A2C-F7A0-4778-90B9-D09D26F4219E
Q280456,Michael P. Jackson,2001-05-05,2003-08-28,,Q280456-8621B892-988E-4C4B-8D01-1CE4B117D7AE
Q1396000,Maria Cino,2005-05-06,2007-03-03,,Q1396000-1F0CE935-4F21-435D-BF4E-A0BC15113760
Q7791018,Thomas J. Barrett,2007-06-01,2009-05-01,,Q7791018-735EA68D-7C77-451A-AA39-8CAAFE9B3A98
Q6253179,John Porcari,2009-06-01,2013-12-27,,Q6253179-431A775B-1CB4-445C-AA0E-63C4888DA8A8
Q7926150,Victor Mendez,2013-12-27,2014-07-24,,Q7926150-98E9B8CB-B442-4898-9322-A01646A3AD5F
Q7926150,Victor Mendez,2014-07-24,2017-01-20,,Q7926150-32B81CBD-D904-48CE-8095-DCEBBE21E993
Q28968002,Jeffrey A. Rosen,2017-05-18,2019-05-21,,Q28968002-a4b3cde1-4e59-a6b4-035a-525176cc5f18
Q15485936,Steven G. Bradbury,2019-09-10,2021-01-11,,Q15485936-619e8721-44e7-8773-637a-f0163937ce8f
Q16886196,Polly Trottenberg,2021-04-14,,,Q16886196-D9DA4AE0-C5B2-4CC9-9FA4-A856EC79EEB8
