item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q2419102,United States Secretary of War,former official who operated the Department of War in the United States Governemnt,1789-09-11T00:00:00Z,1947-09-19T00:00:00Z,Q639738,United States Cabinet,,,Q3315113,minister of war,Q1143596,United States Department of War
Q2419102,United States Secretary of War,former official who operated the Department of War in the United States Governemnt,1789-09-11T00:00:00Z,1947-09-19T00:00:00Z,Q639738,United States Cabinet,,,Q736559,secretary of state,Q1143596,United States Department of War
Q261746,United States Secretary of the Air Force,head of the Department of the Air Force,1947-09-18T00:00:00Z,,Q639738,United States Cabinet,1947-01-01T00:00:00Z,1949-01-01T00:00:00Z,Q10497084,minister of aviation,Q1465252,United States Department of the Air Force
Q1591470,United States Secretary of the Army,position,1947-09-18T00:00:00Z,,Q639738,United States Cabinet,1947-01-01T00:00:00Z,1949-01-01T00:00:00Z,Q212238,civil servant,Q1328562,United States Department of the Army
Q2287650,United States Secretary of the Interior,head of the Department of the Interior in the United States government,1849-03-03T00:00:00Z,,Q639738,United States Cabinet,,,Q17578116,interior minister,Q608427,United States Department of the Interior
Q940135,United States Secretary of the Navy,statutory office and the head of the U.S. Department of the Navy,1798-06-18T00:00:00Z,,Q639738,United States Cabinet,1798-01-01T00:00:00Z,1949-01-01T00:00:00Z,Q10669482,minister of the Navy,Q742787,United States Department of the Navy
Q940135,United States Secretary of the Navy,statutory office and the head of the U.S. Department of the Navy,1798-06-18T00:00:00Z,,Q639738,United States Cabinet,1798-01-01T00:00:00Z,1949-01-01T00:00:00Z,Q212238,civil servant,Q742787,United States Department of the Navy
Q4215834,United States Secretary of the Treasury,United States government position,1789-09-11T00:00:00Z,,Q7889546,United States Assistant Secretary of the Treasury,,,Q7614320,finance minister,Q648666,United States Department of the Treasury
Q4215834,United States Secretary of the Treasury,United States government position,1789-09-11T00:00:00Z,,Q639738,United States Cabinet,,,Q7614320,finance minister,Q648666,United States Department of the Treasury
Q4215834,United States Secretary of the Treasury,United States government position,1789-09-11T00:00:00Z,,Q7889546,United States Assistant Secretary of the Treasury,,,Q7614320,finance minister,Q1115724,Committee on Foreign Investment in the United States
Q4215834,United States Secretary of the Treasury,United States government position,1789-09-11T00:00:00Z,,Q639738,United States Cabinet,,,Q7614320,finance minister,Q1115724,Committee on Foreign Investment in the United States
Q27907212,United States Trade Representative,Cabinet-level office in the United States government,1962-01-01T00:00:00Z,,Q639738,United States Cabinet,,,Q212238,civil servant,Q1574977,Office of the United States Trade Representative
Q11699,Vice President of the United States,second-highest executive officer of the Federal Government of the United States; president of the United States Senate,1789-04-21T00:00:00Z,,Q639738,United States Cabinet,,,Q2269913,president of the Senate,Q66096,United States Senate
Q11699,Vice President of the United States,second-highest executive officer of the Federal Government of the United States; president of the United States Senate,1789-04-21T00:00:00Z,,Q104907540,executive branch of the U.S. government,,,Q2269913,president of the Senate,Q66096,United States Senate
Q11699,Vice President of the United States,second-highest executive officer of the Federal Government of the United States; president of the United States Senate,1789-04-21T00:00:00Z,,Q639738,United States Cabinet,,,Q42178,vice president,Q66096,United States Senate
Q11699,Vice President of the United States,second-highest executive officer of the Federal Government of the United States; president of the United States Senate,1789-04-21T00:00:00Z,,Q104907540,executive branch of the U.S. government,,,Q42178,vice president,Q66096,United States Senate
Q786242,White House Chief of Staff,"American political role, appointed by the President",1946-01-01T00:00:00Z,,Q639738,United States Cabinet,,,Q707492,chief of staff,Q1355327,Executive Office of the President of the United States
Q786242,White House Chief of Staff,"American political role, appointed by the President",1946-01-01T00:00:00Z,,Q639738,United States Cabinet,,,Q707492,chief of staff,Q9287183,White House Office
Q786242,White House Chief of Staff,"American political role, appointed by the President",1946-01-01T00:00:00Z,,Q639738,United States Cabinet,,,Q83307,minister,Q1355327,Executive Office of the President of the United States
Q786242,White House Chief of Staff,"American political role, appointed by the President",1946-01-01T00:00:00Z,,Q639738,United States Cabinet,,,Q83307,minister,Q9287183,White House Office
