@@,itemlabel,item,startdate,enddate
->,William Cushing,Q2063381,1789-09-27->1790-02-02,1810-09-13
->,John Blair Jr.->John Blair,Q778866,1789-09-30->1790-02-02,1795-10-25
+++,James Iredell,Q956007,1790-05-12,1799-10-20
->,James Wilson,Q365181,1790->1789-10-05,1795->1798-08-21
->,John Catron,Q1699569,1791-03-05->1837-05-01,1865-05-30
->,Thomas Johnson,Q5889298,1791-08-05->1791-09-19,1793-01-16
->,William Paterson,Q729054,1793-03-04->1793-03-11,1806-09-09
->,Samuel Chase,Q285521,1796-01-27->1796-02-04,1811-06-19
->,Bushrod Washington,Q166436,1798-12-20->1798-11-09,1829-11-26
->,Henry Brockholst Livingston,Q1606548,1806-11-10->1807-01-20,1823-03-18
->,Thomas Todd,Q2427667,1807-03-03->1807-05-04,1826-02-07
->,Robert Trimble,Q1714230,1826-05-09->1826-06-16,1828-08-25
->,Henry Baldwin,Q915480,1830-01-06->1830-01-18,1844-04-21
->,Philip Pendleton Barbour->Philip P. Barbour,Q726427,1836-03-15->1836-05-12,1841-02-25
->,John McKinley,Q926834,1837-04-22->1838-01-09,1852-07-19
->,Samuel Nelson,Q1717971,1845-02-14->1845-02-27,1872-11-28
->,Benjamin Robbins Curtis,Q202276,1851-09-22->1851-10-10,1857-09-30
->,John Archibald Campbell,Q1699162,1853-03-23->1853-04-11,1861-04-30
->,Nathan Clifford,Q724329,1858-01-12->1858-01-21,1881-07-25
->,David Davis,Q374427,1862-10-17->1862-12-10,1877-03-04
->,Stephen Johnson Field,Q1234235,1863-03-10->1863-05-20,1897-12-01
->,William Strong,Q2580679,1870-02-18->1870-03-14,1880-12-14
->,Ward Hunt,Q2545208,1872-12-11->1873-01-09,1882-01-27
->,John Marshall Harlan,Q1700972,1877-11-29->1877-12-10,1911-10-14
->,William Burnham Woods,Q2578164,1880-12-21->1881-01-05,1887-05-14
->,Horace Gray,Q1627868,1881-12-20->1882-01-09,1902-09-15
->,Samuel Blatchford,Q2218019,1882-03-22->1882-04-03,1893-07-07
->,Lucius Q. C. Lamar->Lucius QuintusCincinnatus Lamar,Q1549250,1888-01-18,1893-01-23
->,David Josiah Brewer->David J. Brewer,Q5235764,1889-12-18->1890-01-06,1910-03-28
->,Henry Billings Brown,Q1606519,1890-12-29->1891-01-05,1906-05-28
->,"George Shiras, Jr.->George Shiras Jr.",Q1508251,1892-07-26->1892-10-10,1903-02-23
->,Howell Edmunds Jackson,Q654559,1893-02-18->1893-03-04,1895-08-08
->,Edward Douglass White,Q706463,1894-02-19->1894-03-12,1910-12-18
---,Edward Douglass White,Q24389,1894-03-12,1910-12-18
->,Rufus W. Peckham,Q2174811,1895-12-09->1896-01-06,1909-10-24
->,Oliver Wendell Holmes->Oliver Wendell Holmes Jr.,Q360574,1902-12-08,1932-01-12
->,Horace Harmon Lurton,Q1627872,1909-12-20->1910-01-03,1914-07-12
->,Willis Van Devanter,Q1404270,1910-12-16->1911-01-03,1937-06-02
->,Joseph Rucker Lamar,Q1707930,1910-12-17->1911-01-03,1916-01-02
->,James Clark McReynolds,Q724204,1914-08-29->1914-10-12,1941-01-31
->,John Hessin Clarke,Q1700452,1916-07-24->1916-10-09,1922-09-18
->,George Sutherland,Q1508314,1922-09-05->1922-10-02,1938-01-17
->,Pierce Butler,Q1395635,1922-12-21->1923-01-02,1939-11-16
->,Edward Terry Sanford,Q1293854,1923-01-29->1923-02-19,1930-03-08
->,Harlan F. Stone,Q942386,1925-02-05->1925-03-02,1941-07-02
->,Owen Roberts,Q703968,1930-05-20->1930-06-02,1945-07-31
->,Benjamin N. Cardozo,Q817637,1932-03-02->1932-03-14,1938-07-09
->,Felix Frankfurter,Q1403472,1939-01-20->1939-01-30,1962-08-28
->,Frank Murphy,Q887724,1940-01-18->1940-02-05,1949-07-19
->,Wiley Rutledge->Wiley Blount Rutledge,Q1626713,1943-02-15,1949-09-10
->,Harold Hitz Burton,Q507177,1945-09-22->1945-10-01,1958-10-13
->,Thomas Campbell Clark->Tom C. Clark,Q724116,1949-08-24,1967-06-12
->,Sherman Minton,Q1849894,1949-10-05->1949-10-12,1956-10-15
->,John Marshall Harlan II,Q957749,1955-03-17->1955-03-28,1971-09-23
->,William J. Brennan->William J. Brennan Jr.,Q717401,1956-10-16,1990-07-20
->,"Lewis F. Powell, Jr.->Lewis F. Powell Jr.",Q252739,1972-01-07,1987-06-26
