@@,itemlabel,item,startdate,enddate
->,Daniel Hernández Jr.->Daniel Hernandez Jr.,Q27824101,2017-01-09,2018-12-31
->,David Livingston,Q15526804,2013-01-14->2017-01-09,2019-01-14->2018-12-31
->,J. D. Mesnard,Q15616057,2013->2017-01-09,2019-01-14->2018-12-31
->,Kelly Townsend,Q16201642,2013-01-14->2017-01-09,2021-01-11->2018-12-31
->,Lela Alston,Q16105836,2013-01-14->2017-01-09,2019-01-14->2018-12-31
->,Mark Cardenas->Mark A. Cardenas,Q16201861,2017-01-09,2018-12-31
->,Michelle Ugenti,Q16122988,2013-01-14->2017-01-09,2019-01-14->2018-12-31
->,Paul Boyer,Q15526725,2013-01-14->2017-01-09,2019-01-14->2018-12-31
->,Rebecca Rios,Q7301883,2015-01-05->2017-01-09,2019-01-14->2018-12-31
->,Rosanna Gabaldón->Rosanna Gabaldon,Q16241820,2013-01-14->2017-01-09,2021-01-11->2018-12-31
->,Sally Ann Gonzales,Q15615882,2013-01-14->2017-01-09,2019-01-14->2018-12-31
->,TJ Shope->T.J. Shope,Q7670522,2013-01-14->2017-01-09,2021-01-11->2018-12-31
->,Vince Leach,Q26703572,2015-01-05->2017-01-09,2019-01-14->2018-12-31
