position,title
Q11696,President
Q11699,Vice President
Q1029955,Secretary of Agriculture
Q2003296,Secretary of Commerce
Q735015,Secretary of Defence
Q967762,Secretary of Education
Q1029968,Secretary of Energy
Q2305968,Secretary of Health and Human Services
Q642859,Secretary of Homeland Security
Q2419581,Secretary of Housing and Urban Development
Q967750,Secretary of Labor
Q14213,Secretary of State
Q261746,Secretary of the Air Force
Q1591470,Secretary of the Army
Q2287650,Secretary of the Interior
Q940135,Secretary of the Navy
Q4215834,Secretary of the Treasury
Q967737,Secretary of Transportation
Q1658460,Secretary of Veterans Affairs
Q11147,Chief Justice
Q636207,Attorney General
Q1763459,Chairman of the Joint Chiefs of Staff
Q1414246,National Security Advisor
Q1154057,Director of National Intelligence
Q27907212,United States Trade Representative
Q2087596,Administrator of the Environmental Protection Agency
Q15623718,Administrator of the Small Business Administration
Q1785225,Ambassador to the United Nations
Q27907217,Chair of the Council of Economic Advisers
Q786242,White House Chief of Staff
Q19817711,Presidential Science Advisor and Director of the Office of Science and Technology Policy
Q912994,Speaker of the House of Representatives
Q1763459,Chairman of the Joint Chiefs
Q783785,Chief of Staff of the Army
Q11147,Chief Justice
Q29514575,Governor of Alabama
Q20801644,Governor of Alaska
Q20804530,Governor of American Samoa
Q29514606,Governor of Arizona
Q1540336,Governor of Arkansas
Q887010,Governor of California
Q29514964,Governor of Colorado
Q887090,Governor of Connecticut
Q20801656,Governor of Delaware
Q20198851,Governor of Florida
Q880198,Governor of Georgia
Q20804488,Governor of Guam
Q5589655,Governor of Hawaii
Q29514674,Governor of Idaho
Q3112719,Governor of Illinois
Q16147601,Governor of Indiana
Q20801664,Governor of Iowa
Q5589668,Governor of Kansas
Q4151335,Governor of Kentucky
Q20766109,Governor of Louisiana
Q3506352,Governor of Maine
Q693032,Governor of Maryland
Q887117,Governor of Massachusetts
Q5589680,Governor of Michigan
Q5589682,Governor of Minnesota
Q878632,Governor of Mississippi
Q20801667,Governor of Missouri
Q20801646,Governor of Montana
Q5589688,Governor of Nebraska
Q20801651,Governor of Nevada
Q5589687,Governor of New Hampshire
Q3112728,Governor of New Jersey
Q17089908,Governor of New Mexico
Q2347975,Governor of New York
Q16202700,Governor of North Carolina
Q3773741,Governor of North Dakota
Q17989863,Governor of Ohio
Q2550683,Governor of Oklahoma
Q16149111,Governor of Oregon
Q20801659,Governor of Pennsylvania
Q456951,Governor of Puerto Rico
Q20765611,Governor of Rhode Island
Q3773752,Governor of South Carolina
Q2626318,Governor of South Dakota
Q5589724,Governor of Tennessee
Q5589725,Governor of Texas
Q20551567,Governor of the United States Virgin Islands
Q887220,Governor of Utah
Q3773745,Governor of Vermont
Q878942,Governor of Virginia
Q19647220,Governor of Washington
Q20801652,Governor of West Virginia
Q3112727,Governor of Wisconsin
Q20801647,Governor of Wyoming
