item,itemLabel,startDate,endDate
Q1287886,Strobe Talbott,1994-02-22,2001-01-19
Q623395,Richard Armitage,2001-03-26,2005-02-22
Q312724,Robert Zoellick,2005-02-22,2006-07-07
Q453868,John Negroponte,2007-02-13,2009-01-28
Q463641,James Steinberg,2009-01-28,2011-07-28
Q1276563,William J. Burns,2011-07-28,2014-11-03
Q4169153,Wendy Sherman,2014-11-03,2015-01-09
Q7821917,Antony Blinken,2015-01-09,2017-01-20
Q7786914,Thomas A. Shannon Jr.,2017-02-01,2017-05-24
Q6241291,John J. Sullivan,2017-05-24,2019-12-20
Q50300023,Stephen Biegun,2019-12-21,2021-01-20
Q4169153,Wendy Sherman,2021-04-14,
