item,itemLabel,startDate,endDate,psid
Q1066362,Charles W. Robinson,1976-04-09,1977-01-20,Q1066362-2E7C7401-E9C0-41CF-BD86-56AF5C578031
Q1101388,"Clifton R. Wharton, Jr.",1993-01-27,1993-11-08,Q1101388-9CCC08E4-2CD3-4175-B964-9DEE20157E95
Q1246923,Kenneth W. Dam,1982-09-23,1985-06-15,Q1246923-3CBC505B-939F-434D-8675-8BB90489BDA3
Q1276563,William Joseph Burns,2011-07-28,2014-11-03,Q1276563-A7E3CD6B-EF61-4A9A-BB33-5DA9A69CA81B
Q1287886,Strobe Talbott,1994-02-23,2001-01-19,Q1287886-99300C46-3132-41F7-9899-A505E30C3459
Q1701184,"John N. Irwin, II",1972-07-13,1973-02-01,Q1701184-4D6E2ACB-EACC-4F35-8EBD-8CCE3B69620C
Q210308,Lawrence Eagleburger,1989-01-20,1992-12-08,Q210308-D1192323-431A-496C-9054-E2278A050A5B
Q2158692,Robert S. Ingersoll,1974-07-10,1976-03-31,Q2158692-45A6B995-402E-45DF-97FB-24C9B99CFD31
Q294358,Warren Christopher,1977-02-26,1981-01-20,Q294358-4B230142-8771-42BC-BDC8-2172D374E3BD
Q312724,Robert Zoellick,2005-02-22,2006-07-07,Q312724-B70F4DB0-9BDF-4E05-868C-3EABE3612AE2
Q4169153,Wendy Sherman,2014-11-03,2015-01-09,Q4169153-b06b722d-41b5-ec23-3bf1-983cb4b333fb
Q4169153,Wendy Sherman,2021-04-14,,Q4169153-d40e3406-a749-43e3-8ebc-d3373b65d0c2
Q446647,William P. Clark,1981-02-25,1982-02-09,Q446647-3C07A00A-E624-45FC-AF98-CDD8C5DA60DD
Q453868,John Negroponte,2007-02-27,2009-01-23,Q453868-A8E75A81-57AE-442E-A8FF-64E34A2B3326
Q463641,James Steinberg,2009-01-28,2011-07-28,Q463641-CA4AF513-E550-42E3-94AE-A7D29715BB40
Q50300023,Stephen Biegun,2019-12-21,2021-01-20,Q50300023-98dd4fde-2fb6-41ac-a263-b57799573467
Q623395,Richard Armitage,2001-03-26,2005-02-22,Q623395-C6595DE1-C8F9-46C4-AAAB-E74DEA6D0F7A
Q6241291,John J. Sullivan,2017-05-24,2019-12-20,Q6241291-76b8b75f-66ce-4015-915d-17dcb91a29cc
Q7786914,"Thomas A. Shannon, Jr.",2017-02-01,2017-05-24,Q7786914-469221c0-49d4-3db5-e6a6-e660f4928c7e
Q7821917,Antony Blinken,2015-01-09,2017-01-20,Q7821917-30EA64C0-7B5E-4D2D-8192-CFE515B05887
Q822359,Kenneth Rush,1973-02-02,1974-05-29,Q822359-8CE7F5CB-1C77-43EE-8569-6D54978A04C9
Q822380,Walter John Stoessel,1982-02-11,1982-09-22,Q822380-6AD77693-4658-4408-8034-5BBD30A195BB
Q972641,John C. Whitehead,1985-07-09,1989-01-20,Q972641-B1B267B2-86BD-4CA5-A990-F6B498DC29B9
