@@,itemlabel,item,startdate,enddate
->,James Loy,Q1314442,2003-12-04->2003-10-01,2005-03-01
+++,Michael P. Jackson,Q280456,2005-03-10,2007-10-26
+++,Paul A. Schneider,Q7148975,2008-06-05,2009-02-11
+++,Jane Holl Lute,Q6152386,2009-04-03,2013-04-09
+++,Rand Beers,Q7291417,2013-04-09,2013-09-06
+++,Rafael Borras,Q29833692,2013-09-26,2013-12-23
+++,Alejandro Mayorkas,Q4714600,2013-12-23,2016-10-28
+++,Russell Deyo,Q29833686,2016-11-01,2017-04-04
+++,Claire Grady,Q30106166,2018-04-16,2019-04-10
+++,David Pekoske,Q5238485,2019-04-11,2019-11-13
+++,Ken Cuccinelli,Q1738589,2019-11-13,2021-01-20
+++,David Pekoske,Q5238485,2021-01-20,2021-06-24
+++,John K. Tien,Q106678910,2021-06-24,
