@@,itemlabel,item,startdate,enddate
->,Arthur Frank Burns->Arthur F. Burns,Q284230,1969-01-20,1969-11-05
+++,Pat Moynihan,Q713505,1969-11-05,1970-12-31
+++,Bryce Harlow,Q4980687,1969-11-05,1970-12-09
+++,Robert Finch,Q1313779,1970-06-23,1972-12-15
+++,Donald Rumsfeld,Q184650,1970-12-11,1971-10-15
+++,Anne Armstrong,Q432762,1973-01-19,1974-12-18
+++,Dean Burch,Q5246036,1974-03-08,1974-12-31
+++,Kenneth Rush,Q822359,1974-05-29,1974-09-19
->,"John Otho Marsh, Jr.->John Marsh",Q387744,1974-08-09,1977-01-20
+++,Robert T. Hartmann,Q28972670,1974-08-09,1977-01-20
+++,Rogers Morton,Q942318,1976-02-02,1976-04-01
+++,Edwin Meese,Q709641,1981-01-20,1985-02-25
->,Clayton Keith Yeutter->Clayton Yeutter,Q376765,1992-02-01,1993-01-20
+++,David Gergen,Q3701575,1993-05-29,1994-06-10
+++,Mack McLarty,Q959007,1994-07-17,1998-06-30
+++,Bill Curry,Q4908645,1995-02-21,1997-01-20
+++,Ann Lewis,Q4766506,1999-03-10,2001-01-20
+++,Dan Bartlett,Q5213125,2005-01-05,2007-07-05
---,John Podesta,Q1290476,2014-01-01,2015-02-13
->,John DeStefano->Johnny DeStefano,Q28606963,2018-02-09,2019-05-24
->,Hope Hicks->Republican,Q24851563->Q29468,2020-03-09,2021-01-12
->,Jeffrey Zients,Q3275786,2021-01-20,2022-04-05->2022-04-04
