@@,itemlabel,item,startdate,enddate
+++,John Garamendi,Q1340268,1995-08-15,1998-04
+++,David J. Hayes,Q5235433,1999-01-03,2001-01-20
+++,Lynn Scarlett,Q6709193,2005-11-22,2009-05-22
+++,David J. Hayes,Q5235433,2009-05-22,2013-06-30
+++,Michael L. Connor,Q16728166,2014-02-27,2017-01-20
+++,Julie Lillie,Q28839759,2017-01-20,2017-08-01
->,David L. Bernhardt,Q29918896,2017-04-28->2017-08-01,2019-01-02->2019-04-11
+++,Katharine MacGregor,Q80189052,2019-09-30,2020-02-25
+++,Katharine MacGregor,Q80189052,2020-02-25,2021-01-20
+++,Tommy Beaudreau,Q106125055,2021-06-23,
