@@,itemlabel,item,startdate,enddate
->,Herbert G. Klein->Herb Klein,Q14592098,1969-01-20,1973-07-01
+++,Ken Clawson,Q15512820,1974-01-30,1974-08-09
+++,Ken Clawson,Q15512820,1974-08-09,1974-11-04
+++,Jerry Warren,Q5549334,1974-11-04,1975-08-15
+++,Margita White,Q28660603,1975-08-15,1976-07-12
+++,David Gergen,Q3701575,1976-07-12,1977-01-20
+++,Gerald Rafshoon,Q5549509,1978-07-01,1979-08-14
+++,Frank Ursomarso,Q30119617,1981-02-23,1981-06-17
+++,David Gergen,Q3701575,1981-06-17,1984-01-15
+++,Michael A. McManus Jr.,Q30138116,1984-01-15,1985-02-06
->,Pat Buchanan,Q149127,1985-02->1985-02-06,1987-03->1987-03-01
+++,Tom Griscom,Q7816020,1987-04-02,1988-07-01
+++,Mari Maseng,Q6760922,1988-07-01,1989-01-20
+++,David Demarest,Q5232912,1989-01-20,1992-08-23
+++,Mark Gearan,Q6767735,1993-06-07,1995-08-14
+++,Don Baer,Q27861831,1995-08-14,1997-07-31
+++,Ann Lewis,Q4766506,1997-07-31,1999-03-10
+++,Loretta Ucelli,Q6680993,1999-03-10,2001-01-20
+++,Karen Hughes,Q289257,2001-01-20,2001-10-02
+++,Dan Bartlett,Q5213125,2001-10-02,2005-01-05
+++,Nicolle Wallace,Q7030302,2005-01-05,2006-07-24
+++,Kevin Sullivan,Q16885948,2006-07-24,2009-01-20
+++,Anita Dunn,Q2020636,2009-04-21,2009-11-30
+++,Dan Pfeiffer,Q5218446,2009-11-30,2013-01-25
---,Jen Psaki,Q12066523,2009-12-19,2011-09-22
+++,Jennifer Palmieri,Q18209402,2013-01-25,2015-04-01
---,Jessica Ditto,Q28605978,2017-01-20,2020-04-10
->,Michael Dubke->Mike Dubke,Q28793980,2017-03-06,2017-05-30->2017-06-02
