@@,itemlabel,item,startdate,enddate
+++,Aaron Lieberman,Q60736984,2021-01-11,2021-09-20
+++,Alma Hernandez,Q60639291,2021-01-11,
->,Amish Shah,Q60736979,2019-01-14->2021-01-11,
+++,Andrea Dalessandro,Q15526745,2021-01-11,
+++,Andrés Cano,Q60462323,2021-01-11,
+++,Arlando Teller,Q60605647,2021-01-11,
+++,Athena Salman,Q28033836,2021-01-11,
+++,Becky Nutt,Q28033830,2021-01-11,2021-11-01
+++,Ben Toma,Q29577974,2021-01-11,
+++,Beverly Pingerelli,Q104801799,2021-01-11,
+++,Brenda Barton,Q16198079,2021-01-11,
+++,Bret Roberts,Q60606512,2021-01-11,2021-09-30
+++,Brian Fernandez,Q110511072,2021-11-22,
+++,Cesar Chavez,Q108619569,2021-01-11,
+++,Charlene Fernandez,Q22679070,2021-01-11,2021-11-15
->,Christian Solorio,Q109320610,2021-11-04->2021-10-27,
+++,Christopher Mathis,Q110518222,2021-12-07,
+++,Daniel Hernandez Jr.,Q27824101,2021-01-11,
+++,David Cook,Q28421779,2021-01-11,
+++,Denise Epstein,Q28540663,2021-01-11,
+++,Diego Espinoza,Q26703666,2021-01-11,
+++,Diego Rodriguez,Q60736980,2021-01-11,2021-11-17
->,Domingo DeGrazia,Q60606479,2019-01-14->2021-01-11,
+++,Frank Carroll,Q60736976,2021-01-11,
+++,Gail Griffin,Q16224676,2021-01-11,
+++,Jeff Weninger,Q26703341,2021-01-11,
+++,Jennifer Jermaine,Q60617172,2021-01-11,
+++,Jennifer Longdon,Q60617457,2021-01-11,
+++,Jennifer Pawlik,Q60617144,2021-01-11,
+++,Joanne Osborne,Q60606529,2021-01-11,
+++,Joel John,Q105703950,2021-01-11,
+++,John Fillmore,Q60736953,2021-01-11,
+++,John Kavanagh,Q16730658,2021-01-11,
+++,Joseph Chaplik,Q105484976,2021-01-11,
+++,Judy Burges,Q16106195,2021-01-11,
+++,Judy Schwiebert,Q105306803,2021-01-11,
+++,Kelli Butler,Q28033835,2021-01-11,
+++,Kevin Payne,Q28421829,2021-01-11,
+++,Leo Biasiucci,Q60605510,2021-01-11,
+++,Lorenzo Sierra,Q60617200,2021-01-11,
+++,Lupe Diaz,,2021-11-19,
+++,Marcelino Quiñonez,Q110513588,2021-12-15,
+++,Mark Finchem,Q26703571,2021-01-11,
+++,Melody Hernandez,Q105306774,2021-01-11,
+++,Michelle Udall,Q28033832,2021-01-11,
+++,Morgan Abraham,Q110513879,2021-12-07,
+++,Myron Tsosie,Q60605663,2021-01-11,
+++,Neal Carter,,2021-10-27,
+++,Pamela Hannley,Q28033826,2021-01-11,
+++,Quang Nguyen,Q105200577,2021-01-11,
+++,Randall Friese,Q19866055,2021-01-11,2021-11-15
->,Raquel Terán,Q58754907,2019-01-14->2021-01-11,2021-09-28->2021-09-15
+++,Regina Cobb,Q23015903,2021-01-11,
+++,Reginald Bolding,Q26703636,2021-01-11,
+++,Richard C. Andrade,Q26703635,2021-01-11,
+++,Robert Meza,Q7347651,2021-01-11,
+++,Russell Bowers,Q7381374,2021-01-11,
+++,Sarah Liguori,Q110474720,2021-10-18,
+++,Shawnna Bolick,Q60617380,2021-01-11,
->,Stephanie Stahl Hamilton,Q102116426,2021-01-11,2021-10-19->2021-10-20
+++,Steve Kaiser,Q105484251,2021-01-11,
+++,Teresa Martinez,,2021-10-27,
+++,Tim Dunn,Q48817975,2021-01-11,
+++,Travis Grantham,Q28033829,2021-01-11,
+++,Walter Blackman,Q60736949,2021-01-11,
