wanted,position,positionid,from,start,end
Q4734363,Presidential Science Advisor and Director of the Office of Science and Technology Policy,Q19817711,Q970550,2021-06-02,2022-02-18
Q6183738,member of the State Senate of California,Q19690441,Q104380129,2020-12-07,
Q106704174,Member of the Kansas House of Representatives,Q17487134,Q78280050,2019-03-19,2021-01-11
Q101251495,member of the Alaska House of Representatives,Q26265831,Q91250396,2019-01-15,2019-11-02
Q104813513,Member of the Kansas House of Representatives,Q17487134,Q100451270,2019-01-15,2021-01-11
Q107327493,Member of the New Mexico House of Representatives,Q17631457,Q96184996,2019-01-15,2021-06-14
Q108312563,Member of the Kansas House of Representatives,Q17487134,Q100396326,2019-01-14,2021-01-11
Q102196181,Member of the North Carolina House of Representatives,Q18089655,Q99412583,2019-01-09,2021-01-01
Q106107637,member of the Illinois House of Representatives,Q17495450,Q59781882,2019-01-09,2021-01-13
Q105016142,member of the Kentucky House of Representatives,Q20065966,Q80812546,2019-01-08,2021-01-05
Q64010681,member of the State Senate of Montana,Q21365323,Q16206359,2019-01-07,
Q102078386,Member of the North Carolina House of Representatives,Q18089655,Q58494571,2019-01-01,2021-01-01
Q21258154,Member of the North Carolina House of Representatives,Q18089655,Q61679836,2019-01-01,2021-01-01
Q104602851,Member of the Idaho House of Representatives,Q17546641,Q96676331,2018-12-01,2020-12-01
Q107302959,member of the Florida House of Representatives,Q18342844,Q60190990,2018-11-06,2020-11-03
Q6386297,member of the Florida House of Representatives,Q18342844,Q58813153,2018-11-06,2020-11-03
Q71723561,ambassador to Moldova,Q7889341,Q57737929,2018-10-25,2021-07-21
Q82831695,member of the Illinois House of Representatives,Q17495450,Q55760901,2018-07-24,2020-01-07
Q105904515,member of the California State Assembly,Q18180908,Q20177418,2018-04-16,2021-03-11
Q36991098,member of the State Senate of Montana,Q21365323,Q49561071,2018-03,2020-11-09
Q96392059,member of the Oregon House of Representatives,Q19360415,Q47507584,2018-01-25,2020-01-06
Q104876749,member of the South Carolina House of Representatives,Q19754409,Q6962831,2018-01-23,2020-11-08
Q102078410,Member of the New Mexico House of Representatives,Q17631457,Q97016570,2018,2021-01-19
Q99693412,member of the Maryland House of Delegates,Q20064986,Q58836733,2017-12-20,2020-08-31
Q29643276,Under Secretary of Defense (Comptroller),Q7883161,Q29346709,2017-06-02,2019-07-31
Q29876186,Deputy National Security Advisor,Q5261055,Q29890787,2017-05-19,2018-05-15
Q100418702,member of the South Dakota House of Representatives,Q19360976,Q16202862,2017-01-10,2019-01-08
Q106678436,Member of the Kansas House of Representatives,Q17487134,Q61482251,2017-01-09,2021-01-11
Q106739212,Member of the Kansas House of Representatives,Q17487134,Q60609936,2017-01-09,2021-01-11
Q15615754,member of the State Senate of Arizona,Q21360913,Q16734452,2017-01-09,2019-01-14
Q47452601,member of the Iowa House of Representatives,Q17486706,Q28528706,2017-01-09,2017-12-12
Q7143931,Member of the Kansas House of Representatives,Q17487134,Q96572435,2017-01-09,2021-01-11
Q98556573,member of the Connecticut House of Representatives,Q18763331,Q97786068,2017-01-05,2019-02-28
Q101809824,member of the Pennsylvania House of Representatives,Q14616716,Q5045327,2017-01-03,2020-11-30
Q104213896,member of the Wisconsin State Assembly,Q18526160,Q28317034,2017-01-03,2021-01-04
Q96505554,member of the Kentucky House of Representatives,Q20065966,Q63347573,2017-01-03,2019-01-08
Q105961048,member of the Missouri House of Representatives,Q18131809,Q28529993,2017-01,2021-01-05
Q106782171,member of the Missouri House of Representatives,Q18131809,Q105555731,2017,2021
Q104805134,member of the California State Assembly,Q18180908,Q27916202,2016-12-05,2020-11-30
Q18685374,member of the State Senate of California,Q19690441,Q27942445,2016-12-05,2018-06-24
Q60734949,member of the California State Assembly,Q18180908,Q4766893,2016-12-05,2018-11-30
