item,itemLabel,startDate,endDate,psid
Q1066494,Charles Woodruff Yost,1969-01-23,1971-02-25,Q1066494-A27C0517-5C5E-42E8-9E76-D5483D3F4D94
Q11668,Nikki Haley,2017-01-27,2018-12-31,Q11668-b2a4e62f-40a7-f909-aa2f-9eafc307bfb8
Q1287554,John Danforth,2004-07-23,2005-01-20,Q1287554-323a59c4-4b96-55ee-1a2d-9cd3ab3ec851
Q145193,Zalmay Khalilzad,2007-04-30,2009-01-20,Q145193-9536D0BE-1F85-4196-9692-8BEDD3A0BDED
Q15429937,Rosemary DiCarlo,2013-06-30,2013-08-05,Q15429937-6829C61C-B20C-4871-8F45-5AE61D67F43F
Q155649,Richard Holbrooke,1999-09-07,2001-01-20,Q155649-5FDF8827-167D-4026-9663-A02575D05CE6
Q1681058,James Russell Wiggins,1968-10-07,1969-01-20,Q1681058-B953EE6D-E1D4-4A53-B6AB-76885B4C1D4E
Q19920980,Linda Thomas-Greenfield,2021-02-25,,Q19920980-3ce1a008-4032-5f29-f6bb-1d2979c32b62
Q21932292,"Richard M. Mills, Jr.",2021-01-20,2021-02-25,Q21932292-A416E58D-0869-47C0-9D54-DE2E8D6A3181
Q23505,George H. W. Bush,1971-03-01,1973-01-18,Q23505-d5344fb1-4848-a0db-d4ed-95a6f944787d
Q240534,Jeane Kirkpatrick,1981-02-04,1985-04-01,Q240534-831584B0-F23A-4DE0-9434-2A9F3470701E
Q28871485,Kelly Craft,2019-09-12,2021-01-20,Q28871485-e04798e1-440d-8336-5876-162fa21007c6
Q2904128,James Jeremiah Wadsworth,1960-09-08,1961-01-21,Q2904128-B6341AD6-8F8C-4C5F-A64B-8404985F333F
Q311269,John R. Bolton,2005-08-01,2006-12-09,Q311269-20f56528-4213-f4dd-c8e1-a570236e65df
Q311719,Adlai Stevenson II,1961-01-23,1965-07-14,Q311719-FD17DE89-39F6-4FA6-8E3D-8B3C55D06136
Q311782,Bill Richardson,1997-02-18,1998-08-18,Q311782-BFF8F8E1-9D2F-4257-B921-F8F9DD12CAB5
Q343856,Alejandro Daniel Wolff,2006-12-31,2007-04-30,Q343856-384FC397-4CBE-440C-8E44-32B5012C8D20
Q348185,James B. Cunningham,2001-01-20,2001-09-19,Q348185-92B3831A-C6E1-4B86-9A73-E0116A671DCA
Q362118,"Edward Reilly Stettinius, Jr.",1946-01-17,1946-06-03,Q362118-D9F79298-360F-4384-A594-6326C8D190AC
Q433742,Anne W. Patterson,2005-01-20,2005-08-01,Q433742-7B11A204-C153-48B5-8783-1D97CEEA0653
Q450984,Henry Cabot Lodge Jr.,1953-01-26,1960-09-03,Q450984-2702e243-4c60-1b90-65c7-ba97cf2587ca
Q453868,John Negroponte,2001-09-19,2004-06-23,Q453868-93719407-479e-57e7-16e5-d6a040b695b9
Q454970,Samantha J. Power,2013-08-05,2017-01-20,Q454970-70715128-D410-4529-9E10-C8E35B7169C8
Q50612,Susan Rice,2009-01-22,2013-06-30,Q50612-d72e9d43-4d07-f180-d527-00d57b017219
Q518323,Edward J. Perkins,1992-05-12,1993-01-27,Q518323-5556998E-B584-42C8-A546-FCA829ADFEA1
Q5294839,Donald McHenry,1979-09-23,1981-01-20,Q5294839-002621F5-DBC6-48CB-ABAE-01FB627D3A07
Q55615279,Jonathan Cohen (diplomat),2019-01-01,2019-09-12,Q55615279-6302C804-52C1-4D82-86A1-2DE9471F7539
Q5744323,Herschel Johnson,1946-06-03,1947-01-14,Q5744323-7D38812A-8D65-4B7E-BAEA-AB600668AF26
Q6095801,John A. Scali,1973-02-20,1975-06-29,Q6095801-1f0b0ffd-4428-1bda-1626-f62af21618f8
Q660629,Vernon A. Walters,1985-05-22,1989-03-15,Q660629-5E44D458-BD9C-4E57-BF52-384A777EE758
Q6836763,Michele J. Sison,2017-01-20,2017-01-27,Q6836763-D285457D-5937-490E-88D0-1AED6FF104D6
Q709513,Arthur Goldberg,1965-07-28,1968-06-24,Q709513-5EAB70D1-D9BF-4E35-8C9C-4B255D1EFFA1
Q713505,Daniel Patrick Moynihan,1975-06-30,1976-02-02,Q713505-C4D02EAD-5414-46FE-9EA0-6C7D7DC62C41
Q7173066,Peter Burleigh,1998-08-18,1999-09-07,Q7173066-5892E866-42F3-4A30-8D7D-F9A91F5DF747
Q880776,William Scranton,1976-03-15,1977-01-19,Q880776-708AD818-62F5-4113-B676-B792BC966EF7
Q953916,Warren Austin,1947-01-14,1953-01-22,Q953916-56DDA890-D62B-4E1E-8ACF-64FABCAD6C80
Q959635,Andrew Young,1977-01-30,1979-09-23,Q959635-c590b84a-44bf-7c89-6fbe-a66dcb349750
Q968268,Thomas R. Pickering,1989-03-20,1992-05-07,Q968268-e6c8bfc8-4dfb-a895-3a06-e7eab0d7eba0
Q997635,George Ball,1968-06-26,1968-09-25,Q997635-27AD922D-BF8F-4F44-B6B2-34F83334A22E
Q174438,Madeleine Albright,1993-01-27,1997-01-21,q174438-77b03a71-4c56-1dd2-12b7-c263cdb79283
