@@,item,itemlabel,startdate,enddate
->,Q714646,Bill Kristol,1989-01-20->1989,1993-01-20->1993
+++,Q649898,Ron Klain,1995,1999
---,Q649898,Ron Klain,1995-11-01,1999-08-03
->,Q380441,Scooter Libby->Lewis Libby,2001,2005
+++,Q649898,Ron Klain,2009,2011
---,Q649898,Ron Klain,2009-01-20,2011-01-14
->,Q4978184,Bruce Reed,2011-01-14->2011,2013-12-01->2013
->,Q7613738,Steve Ricchetti,2013-12-01->2013,2017-01-20->2017
->,Q103782254,Hartina Flournoy,2021-01-20->2021,2022-05-16->2022
---,Q111892345,Lorraine Voles,2022-05-16,
