item,itemLabel,startDate,endDate,sourceDate,psid
Q584007,Francis P. Matthews,1949-08-10,1951-07-31,2022-05-03,Q584007-DBE7C00A-56CF-4598-9DBB-B7508017F172
Q1158969,Dan A. Kimball,1951-07-31,1953-01-20,2022-05-03,Q1158969-0418D972-50CA-44B5-B091-18D1DA08C2F5
Q1335625,Robert B. Anderson,1953-02-04,1954-03-03,,Q1335625-A745831B-98D7-41CE-AA8D-60395EBA2C6E
Q1065995,Charles S. Thomas,1954-05-03,1957-04-01,2022-05-03,Q1065995-B93F0401-E575-471F-9D20-0F5474421A4D
Q1361114,"Thomas S. Gates, Jr.",1957-04-01,1959-06-08,,Q1361114-CDE47AC6-27C3-4760-81BC-254813779A8D
Q4019940,William B. Franke,1959-06-08,1961-01-19,2022-05-03,Q4019940-5D161E3D-E802-4602-8489-3C38E69C03B1
Q311293,John Connally,1961-01-25,1961-12-20,,Q311293-89A9314C-E523-4502-9FA0-1C8EC2FAF718
Q3752639,Fred Korth,1962-01-04,1963-11-01,2022-05-03,Q3752639-A5E5D4B0-D8B6-4D77-86F1-D1A5A9FE4AB3
Q770001,Paul B. Fay,1963-11,1965,,Q770001-43fef362-472a-c861-5dfa-4ab470183a49
Q2061526,Paul Nitze,1963-11-29,1967-06-30,,Q2061526-70D62CBE-1205-4816-9483-747C0F15FA01
Q5077485,Charles F. Baird,1967-07-01,1967-08-31,2022-05-03,Q5077485-9C12CAAD-B972-49E9-BB66-EA29C58DCBE0
Q2061964,Paul Robert Ignatius,1967-09-01,1969-01-24,,Q2061964-B92E38C9-D28C-4105-AD77-34DB103FCB2B
Q887338,John Chafee,1969-01-31,1972-05-04,,Q887338-DC756596-19A5-4C65-9E92-6F8827508CFA
Q464810,John Warner,1972-05-04,1974-04-08,,Q464810-0DE5F289-F614-4FCF-84BB-A956D5D98340
Q382493,J. William Middendorf,1974-04-08,1977-01-20,2022-05-03,Q382493-3A75EDA3-0C07-4F0C-A491-D5EC0ECA6E62
Q981379,"W. Graham Claytor, Jr.",1977-02-14,1979-08-24,,Q981379-aa310c47-41e0-69cf-7ba7-b679d3ce095c
Q1292540,Edward Hidalgo,1979-10-24,1981-01-20,2022-05-03,Q1292540-EAD32DBC-308B-4477-904B-962815480A04
Q327486,John Lehman,1981-02-05,1987-04-10,2022-05-03,Q327486-DF057D64-867A-49FB-816B-0B60FEDABE62
Q532279,Jim Webb,1987-05-01,1988-02-23,,Q532279-3d4263ff-4180-c4ce-9769-9bbc694217b3
Q1363233,William L. Ball,1988-03-28,1989-05-15,2022-05-03,Q1363233-1C09FF3B-F0D4-446C-98AC-CCE486D01FE5
Q3784962,Henry L. Garrett III,1989-05-15,1992-06-26,2022-05-03,Q3784962-59C49344-E136-451A-96A8-AD957EFF5021
Q6105329,Daniel Howard,1992-06-26,1992-07-07,2022-05-03,Q6105329-E378EEA8-D0FF-401E-A8BE-97E376E21226
Q983423,Sean O'Keefe,1992-07-07,1993-01-20,,Q983423-895D6E93-8B33-4D88-8D45-903C9B249496
Q464685,Frank B. Kelso II,1993-01-20,1993-07-21,2022-05-03,Q464685-5A489695-FD5A-42D0-851E-351495CB504D
Q1700505,John H. Dalton,1993-07-22,1998-11-16,2022-05-03,Q1700505-E01C1D2F-5F1B-428A-A4F2-EF306188875B
Q381610,Richard Danzig,1998-11-16,2001-01-20,2022-05-03,Q381610-EBD2A5ED-AD7F-4EFC-BF01-4CEA4A676626
Q7341743,"Robert B. Pirie, Jr.",2001-01-20,2001-05-24,2022-05-03,Q7341743-04C5327B-E391-4042-8D7B-28EBC4E21BFB
Q323508,Gordon R. England,2001-05-24,2003-01-24,,Q323508-C9D5E9EF-B483-48B6-89E9-A9D382BFBF49
Q7648121,Susan Livingstone,2003-01-30,2003-02-07,,Q7648121-503C1F29-1F82-499E-9083-70E2A7A00530
Q5651089,Hansford T. Johnson,2003-02-07,2003-09-30,,Q5651089-E766ACF5-82B8-4E07-B67B-4DFE7F0161F8
Q323508,Gordon R. England,2003-10-01,2006-01-03,,Q323508-D90445EB-8305-4D1F-A524-93663932CBAF
Q5279322,Dionel M. Aviles,2005-12-29,2006-01-03,2022-05-03,Q5279322-EE9F69FA-98F6-4670-B204-8C839521F14C
Q1239753,Donald C. Winter,2006-01-03,2009-03-13,,Q1239753-EDFDD6B2-6F74-413C-8805-4A4E138F9861
Q4834044,B. J. Penn,2009-03-13,2009-05-19,2022-05-03,Q4834044-B729FE01-01BE-43A7-BDC7-779DFF3D70FF
Q531247,Ray Mabus,2009-05-19,2017-01-20,,Q531247-D2DF4254-94D5-4302-8F02-CBF42D177FBE
Q7441451,Sean Stackley,2017-01-20,2017-08-03,,Q7441451-5D91159F-ED2F-473C-AE0A-E454A79A143A
Q29342932,Richard V. Spencer,2017-08-03,2019-11-24,,Q29342932-43c50186-d472-4c62-a00e-9620f74255b5
Q41598755,Thomas Modly,2019-07-15,2019-07-31,2022-05-03,Q41598755-28971AF6-EF58-4E06-9A45-0C4B2D1EF34C
Q29342932,Richard V. Spencer,2019-07-31,2019-11-24,2022-05-03,Q29342932-19AF86EA-64F6-4706-BA31-DC3418EC22B9
Q41598755,Thomas Modly,2019-11-24,2020-04-07,2022-05-03,Q41598755-EFE7FCB5-67BA-4608-95E5-E3D381BF9C96
Q6133157,James E. McPherson,2020-04-07,2020-05-29,2022-05-03,Q6133157-A7E5D986-6850-4F1B-A503-420B292C33F4
Q42316397,Kenneth Braithwaite,2020-05-29,2021-01-20,,Q42316397-559161E5-415E-46FD-A917-57D6CDB200F6
Q47333628,Thomas Harker,2021-01-20,2021-08-09,2022-05-03,Q47333628-C5AE1E40-1A3A-4A84-A64A-46FFDC322FE7
Q107195317,Carlos Del Toro,2021-08-09,,,Q107195317-CFC5D9D6-F0DE-4884-9C61-0AAE9E9B629E
