@@,itemlabel,item,startdate,enddate
+++,Francis P. Matthews,Q584007,1949-08-10,1951-07-31
+++,Dan A. Kimball,Q1158969,1951-07-31,1953-01-20
+++,Charles S. Thomas,Q1065995,1954-05-03,1957-04-01
+++,William B. Franke,Q4019940,1959-06-08,1961-01-19
->,John Connally->John B. Connally,Q311293,1961-01-25,1961-12-20
+++,Fred Korth,Q3752639,1962-01-04,1963-11-01
->,Paul Nitze->Paul H. Nitze,Q2061526,1963-11-29,1967-06-30
->,Paul B. Fay,Q770001,1963-11->1963-11-02,1965->1963-11-28
+++,Charles F. Baird,Q5077485,1967-07-01,1967-08-31
->,Paul Robert Ignatius->Paul R. Ignatius,Q2061964,1967-09-01,1969-01-24
->,John Chafee->John H. Chafee,Q887338,1969-01-31,1972-05-04
->,John Warner->John W. Warner,Q464810,1972-05-04,1974-04-08
+++,J. William Middendorf,Q382493,1974-04-08,1977-01-20
+++,Edward Hidalgo,Q1292540,1979-10-24,1981-01-20
+++,John Lehman,Q327486,1981-02-05,1987-04-10
+++,William L. Ball,Q1363233,1988-03-28,1989-05-15
+++,Henry L. Garrett III,Q3784962,1989-05-15,1992-06-26
+++,Daniel Howard,Q6105329,1992-06-26,1992-07-07
->,Sean O'Keefe,Q983423,1992-07-07,1993-01-20->1992-10-02
+++,Sean O'Keefe,Q983423,1992-10-02,1993-01-20
+++,Frank B. Kelso II,Q464685,1993-01-20,1993-07-21
+++,John H. Dalton,Q1700505,1993-07-22,1998-11-16
+++,Richard Danzig,Q381610,1998-11-16,2001-01-20
+++,"Robert B. Pirie, Jr.",Q7341743,2001-01-20,2001-05-24
->,Gordon R. England,Q323508,2001-05-24,2003-01-24->2003-01-30
->,Gordon R. England,Q323508,2003-10-01,2006-01-03->2005-12-29
+++,Dionel M. Aviles,Q5279322,2005-12-29,2006-01-03
+++,B. J. Penn,Q4834044,2009-03-13,2009-05-19
->,Richard V. Spencer,Q29342932,2017-08-03,2019-11-24->2019-07-15
+++,Thomas Modly,Q41598755,2019-07-15,2019-07-31
+++,Richard V. Spencer,Q29342932,2019-07-31,2019-11-24
+++,Thomas Modly,Q41598755,2019-11-24,2020-04-07
+++,James E. McPherson,Q6133157,2020-04-07,2020-05-29
+++,Thomas Harker,Q47333628,2021-01-20,2021-08-09
