pageid,title,wikidata,label
99628,Tom Vilsack,Q353826,Tom Vilsack
145422,Joe Biden,Q6279,Joe Biden
147301,Nancy Pelosi,Q170581,Nancy Pelosi
363292,Mike DeWine,Q1363468,Mike DeWine
367818,Kay Bailey Hutchison,Q239928,Kay Bailey Hutchison
408979,Xavier Becerra,Q1855840,Xavier Becerra
412808,Jennifer Granholm,Q234994,Jennifer Granholm
412985,Jay Inslee,Q1100710,Jay Inslee
415103,Elliott Abrams,Q1263846,Elliott Abrams
418947,Gavin Newsom,Q461391,Gavin Newsom
468307,Pete Hoekstra,Q535254,Pete Hoekstra
576683,Roy Cooper,Q7372694,Roy Cooper
627769,Janet Yellen,Q263725,Janet Yellen
850593,John Carney (politician),Q505302,John Carney
893026,Ken Salazar,Q342586,Ken Salazar
1110156,Merrick Garland,Q1922011,Merrick Garland
1163464,Henry Cuellar,Q539562,Henry Cuellar
1184212,Asa Hutchinson,Q720121,Asa Hutchinson
1199173,Samuel Alito,Q11138,Samuel Alito
1274662,Jon Huntsman Jr.,Q11607,"Jon Huntsman, Jr."
1279245,Sheila Frahm,Q453709,Sheila Frahm
1492735,Greg Abbott,Q5605224,Greg Abbott
1785442,Christopher R. Hill,Q494953,Christopher R. Hill
1910482,Amy Gutmann,Q2481855,Amy Gutmann
1928850,John Roberts,Q11153,John Roberts
1948085,Dan Patrick (politician),Q5214174,Dan Patrick
1959232,Jesse White (politician),Q3177637,Jesse White
2047702,R. Nicholas Burns,Q519825,R. Nicholas Burns
2093225,Elena Kagan,Q11105,Elena Kagan
2095829,Sonia Sotomayor,Q11107,Sonia Sotomayor
2139611,Ron Klain,Q649898,Ron Klain
2216593,Tim Walz,Q2434360,Tim Walz
2347492,Lloyd Austin,Q941013,Lloyd Austin
2500405,Victoria Reggie Kennedy,Q7926996,Victoria Reggie Kennedy
2673912,Susan Bysiewicz,Q7647637,Susan Bysiewicz
2917700,Sheila Oliver,Q7493177,Sheila Y. Oliver
3086551,Peter Berkowitz,Q7172794,Peter Berkowitz
3120522,Kamala Harris,Q10853588,Kamala Harris
3152451,Suzanne Crouch,Q7650809,Suzanne Crouch
3379557,Pete Ricketts,Q6106781,Pete Ricketts
3482397,Henry McMaster,Q5725737,Henry McMaster
3484018,Tate Reeves,Q7687964,Tate Reeves
3651812,Ned Lamont,Q1973878,Ned Lamont
3881772,David Zuckerman (politician),Q5241423,David Zuckerman
4077782,William J. Burns (diplomat),Q1276563,William Joseph Burns
4643936,Gretchen Whitmer,Q5607720,Gretchen Whitmer
4769472,Randy McNally,Q7292314,Randy McNally
5120372,Denise Bauer,Q13571907,Denise Bauer
5303368,John Fetterman,Q3181500,John Fetterman
6049434,Neil Gorsuch,Q15488345,Neil Gorsuch
6803569,N. Nick Perry,Q16145634,N. Nick Perry
8119487,Robert Orr (executive),Q7348162,Robert Orr
9701906,Kate Brown,Q6375399,Kate Brown
10055966,Tim Griffin,Q2435200,Timothy Griffin
10422827,Jared Polis,Q935734,Jared Polis
11313563,Pedro Pierluisi,Q2277878,Pedro Pierluisi
11716627,Delbert Hosemann,Q5253534,Delbert Hosemann
13257123,Barbara Cegavske,Q4858808,Barbara Cegavske
15112197,Bruce Reed (political operative),Q4978184,Bruce Reed
15477132,John Bel Edwards,Q6221385,John Bel Edwards
15784952,Matthew Dunlap,Q6790437,Matthew Dunlap
16242514,Mike Stack,Q6831508,Michael J. Stack III
16790825,Dan McKee,Q5218111,Daniel McKee
17539463,Kay Ivey,Q6380211,Kay Ivey
18252925,Wendy Sherman,Q4169153,Wendy Sherman
18388911,Denis McDonough,Q3702047,Denis McDonough
