item,itemLabel,startDate,endDate,sourceDate,psid
Q381610,Richard Danzig,1998-11-16,2001-01-20,2022-05-03,Q381610-EBD2A5ED-AD7F-4EFC-BF01-4CEA4A676626
Q7341743,"Robert B. Pirie, Jr.",2001-01-20,2001-05-24,2022-05-03,Q7341743-04C5327B-E391-4042-8D7B-28EBC4E21BFB
Q323508,Gordon R. England,2001-05-24,2003-01-24,,Q323508-C9D5E9EF-B483-48B6-89E9-A9D382BFBF49
Q7648121,Susan Livingstone,2003-01-30,2003-02-07,,Q7648121-503C1F29-1F82-499E-9083-70E2A7A00530
Q5651089,Hansford T. Johnson,2003-02-07,2003-09-30,,Q5651089-E766ACF5-82B8-4E07-B67B-4DFE7F0161F8
Q323508,Gordon R. England,2003-10-01,2006-01-03,,Q323508-D90445EB-8305-4D1F-A524-93663932CBAF
Q5279322,Dionel M. Aviles,2005-12-29,2006-01-03,2022-05-03,Q5279322-EE9F69FA-98F6-4670-B204-8C839521F14C
Q1239753,Donald C. Winter,2006-01-03,2009-03-13,,Q1239753-EDFDD6B2-6F74-413C-8805-4A4E138F9861
Q4834044,B. J. Penn,2009-03-13,2009-05-19,2022-05-03,Q4834044-B729FE01-01BE-43A7-BDC7-779DFF3D70FF
Q531247,Ray Mabus,2009-05-19,2017-01-20,,Q531247-D2DF4254-94D5-4302-8F02-CBF42D177FBE
Q7441451,Sean Stackley,2017-01-20,2017-08-03,,Q7441451-5D91159F-ED2F-473C-AE0A-E454A79A143A
Q29342932,Richard V. Spencer,2017-08-03,2019-11-24,,Q29342932-43c50186-d472-4c62-a00e-9620f74255b5
Q41598755,Thomas Modly,2019-07-15,2019-07-31,2022-05-03,Q41598755-28971AF6-EF58-4E06-9A45-0C4B2D1EF34C
Q29342932,Richard V. Spencer,2019-07-31,2019-11-24,2022-05-03,Q29342932-19AF86EA-64F6-4706-BA31-DC3418EC22B9
Q41598755,Thomas Modly,2019-11-24,2020-04-07,2022-05-03,Q41598755-EFE7FCB5-67BA-4608-95E5-E3D381BF9C96
Q6133157,James E. McPherson,2020-04-07,2020-05-29,2022-05-03,Q6133157-A7E5D986-6850-4F1B-A503-420B292C33F4
Q42316397,Kenneth Braithwaite,2020-05-29,2021-01-20,,Q42316397-559161E5-415E-46FD-A917-57D6CDB200F6
Q47333628,Thomas Harker,2021-01-20,2021-08-09,2022-05-03,Q47333628-C5AE1E40-1A3A-4A84-A64A-46FFDC322FE7
Q107195317,Carlos Del Toro,2021-08-09,,,Q107195317-CFC5D9D6-F0DE-4884-9C61-0AAE9E9B629E
