item,itemLabel,startDate,endDate,sourceDate,psid
Q7626497,Stuart E. Eizenstat,1999-07-16,2001-01-20,,Q7626497-38460747-B474-475B-9F53-C3BCDD3D7EEC
Q1246923,Kenneth W. Dam,2001-01-20,2004-07-13,,Q1246923-4CF8BCCB-11E1-4994-8613-AA1CDA2D82CF
Q1276376,Samuel Bodman,2004,2005,,Q1276376-b51d1561-4fa6-ed75-3459-d7b886fb84e8
Q822657,Robert M. Kimmitt,2005-08-16,2009-01-20,,Q822657-CB66CF9C-4422-485E-A56F-6A6F281C33FB
Q1302611,Neal S. Wolin,2009-05-18,2013-08-31,,Q1302611-6EBE730F-AE23-4C20-9342-736CFC6D1D59
Q6779847,Mary J. Miller,2013-08-31,2014-03-19,,Q6779847-2F51247A-939B-4A46-B367-9E15E4FA0410
Q7422112,Sarah Bloom Raskin,2014-03-19,2017-01-20,,Q7422112-A97CE326-3821-4262-8BA0-2AAC9119B0EB
Q28968005,Sigal Mandelker,2017-06-26,2018-12-12,,Q28968005-E8D650A7-1B5D-4630-A6F6-FC6D9B1C6E13
Q51535967,Justin Muzinich,2018-12-12,2021-01-20,,Q51535967-799653E6-60D2-4835-B4AD-4D6A4D275956
Q96101326,Wally Adeyemo,2021-03-26,,,Q96101326-CF211D94-3E12-4D66-81A2-1B6DE8956115
