@@,itemlabel,item,startdate,enddate
---,Oliver Max Gardner,Q889827,1946,1947
+++,R. T. McNamar,Q54065870,1981-01-20,1985-10-07
+++,Richard G. Darman,Q1299336,1985-10-07,1987-08-28
+++,M. Peter McPherson,Q6713002,1987-10-15,1989-01-20
+++,John E. Robson,Q52072497,1989-01-20,1992-12-30
+++,Roger Altman,Q3438646,1993-01-20,1994-08-17
+++,Frank N. Newman,Q5488611,1994-09-28,1995-03-05
->,Lawrence Summers,Q317953,1995->1995-03-11,1999->1999-07-02
+++,Stuart E. Eizenstat,Q7626497,1999-07-16,2001-01-20
+++,Kenneth W. Dam,Q1246923,2001-01-20,2004-07-13
->,Samuel Bodman,Q1276376,2004->2004-08,2005->2005-01-31
+++,Robert M. Kimmitt,Q822657,2005-08-16,2009-01-20
+++,Mary J. Miller,Q6779847,2013-08-31,2014-03-19
+++,Sarah Bloom Raskin,Q7422112,2014-03-19,2017-01-20
+++,Sigal Mandelker,Q28968005,2017-06-26,2018-12-12
+++,Justin Muzinich,Q51535967,2018-12-12,2021-01-20
+++,Wally Adeyemo,Q96101326,2021-03-26,
